,name,stars,rating,reviews_count,has_free_wifi,gallery_images_count,address,start_year,good_district
101,Апартаменты Речной вокзал,,6.4,8,True,32,"41 Festivalnaya ulitsa корпус 2, 2 этаж, Москва, Россия",2017,False
102,GorodM Apartment on Presnya,,,,True,28,"ulitsa Krasnaya Presnya 38, Пресненский, Москва, Россия",2017,True
103,Leader NORD Apartments on Krasnaya Presnya,,7.2,131,True,47,"Зоологический переулок дом 4/6, Пресненский, Москва, Россия",2014,True
104,Апартаменты у Кремля,,,,True,36,"17 Nikitskiy bulvar 8, Пресненский, Москва, Россия",2017,True
105,Лидер НОРД апартаменты в Гнездниковском ,,7.7,57,True,39,"Большой Гнездниковский переулок д.10, , Тверской, Москва, Россия",2015,True
106,Апартаменты у метро Пролетаской,,,,True,25,"7к1 Ulitsa Simonovskiy Val, Москва, Россия",2017,False
107,"Апартаменты у метро ""Дубровка""",,,,True,15,"Sharikopodshipnikovskaya ulitsa, Москва, Россия",2017,False
108,Private Apartments in Belyaevo,,9.7,26,True,37,"Улица Генерала Антонова, 5 строение 5, Москва, Россия",2014,False
109,Apartments in Sokolniki,,,,True,25,"24 ulitsa Sokolnicheskiy Val, Сокольники, Москва, Россия",2017,False
110,Апартаменты на Арбате 31,,9.8,38,True,47,"Улица Арбат, 31, Арбат, Москва, Россия",2017,True
111,Apartment on Kapranova 6,,,,True,17,"Kapranova pereulok 6, Пресненский, Москва, Россия",2017,True
112,Apartamienty v tsientrie Moskvy!,,,,True,21,"2 Meshchanskaya ulitsa 1 etazh, Мещанский, Москва, Россия",2017,True
113,Apartment on 4-y Vyatskiy 27,,,,True,29,"27 4-y Vyatskiy pereulok, Савеловский, Москва, Россия",2017,False
114,Apartdecor Paveletskaya,,9.4,31,True,25,"43-16 Novokuznetskaya ulitsa, Замоскворечье, Москва, Россия",2016,False
115,Апарт-отель Наумов Сретенка,3,9.1,528,True,66,"Улица Сретенка 4 стр1, Красносельский, Москва, Россия",2015,True
116,Апартаменты Salt City Moscow,,9.4,222,True,71,"Улица Митинская, 16, Москва, Россия",2016,False
117,"ApartHotel555 1 Brestskya, 40",,9.4,7,True,34,"1 Brestskya, 40, Тверской, Москва, Россия",2017,True
118,ApartHotel555 3-я Тверская-Ямская,,7.4,12,True,34,"ул. 3-я Тверская-Ямская, 42/8, Тверской, Москва, Россия",2017,True
119,ApartLux 1905 goda Suite,,7.5,23,True,46,"Ulitsa 1905 goda 11, Пресненский, Москва, Россия",2015,True
120,ApartLux Алексеевская,,6.8,17,True,35,"Третья Мытищинская Улица 3, Алексеевский, Москва, Россия",2014,False
121,ApartLux на Нахимовской,,7.2,9,True,55,"Нахимовский Проспект 22, Москва, Россия",2014,False
122,ApartLux Dorogomilovskaya 4,,,,True,47,"Bolshaya Dorogomilovskaya ulitsa 4, Дорогомилово, Москва, Россия",2016,True
123,Apartlux Дорогомиловская 8,,8.2,10,True,38,"Улица Большая Дорогомиловская, 8, Дорогомилово, Москва, Россия",2017,True
124,ApartLux Gorky Park,,7.1,11,True,34,"Zubovskiy Boulevard, 29, Хамовники, Москва, Россия",2014,True
125,ApartLux Красносельская,,7.3,26,True,29,"Старослободская Улица 14, Сокольники, Москва, Россия",2014,False
126,ApartLux Университет,,7.5,15,True,21,"Проспект Вернадского, 11/19, Москва, Россия",2014,False
127,ApartLux Tverskaya-Yamskaya,,7.8,9,True,37,"1-ya Tverskaya-Yamskaya,13, Bldg. 1, Тверской, Москва, Россия",2016,True
128,ApartLux Znamenka,,8.2,31,True,23,"Ulitsa Znamenka, 13, Bldg.4, Хамовники, Москва, Россия",2016,True
129, Апартмент 1-й Красногвардейский 4,,8.0,29,True,38,"1-й Красногвардейский Проезд 4кб Строение 2, Пресненский, Москва, Россия",2016,False
130,Apartment 107sqm on Berezhkovskaya embankment,,,,True,68,"Berezhkovskaya naberezhnaya, h.12, ap. 318, Дорогомилово, Москва, Россия",2017,True
131,Apartment ABC Paveletskaya,,,,True,37,"Kozhevnicheskaya street 1 B, Замоскворечье, Москва, Россия",2017,False
132,Apartment ABC Shabolovka,,,,True,38,"19 ulitsa Donskaya Apt. 59, Якиманка, Москва, Россия",2017,False
133,Apartment Akademika Chelomeya 8 k 2,,9.2,9,True,28,"ulitsa Akademika Chelomeya 8, bldg. 2 apt. 723, Москва, Россия",2017,False
134,Apartment Alexandria,,,,True,41,"Старобитцевская, 15к3, Москва, Россия",2017,False
135,Apartment Antonova-Ovseenko 11,,,,True,28,"ul. Antonova-Ovseenko, 11, apt.7, Пресненский, Москва, Россия",2016,False
136,Apartment Aqua Style Yakimanka,,9.5,21,True,44,"Ulitsa Bolshaya Yakimanka 54, Якиманка, Москва, Россия",2015,False
137,2 Bedroom Apartment m. Alma-Atinskaya,,9.3,35,True,25,"33 Brateevskaya ulitsa корпус 1, Москва, Россия",2017,False
138,Апартаменты на Бутлерова 4,,,,True,24,"улица Бутлерова дом 4, Москва, Россия",2017,False
139,Apartment at Gagarinskiy pereulok 31,,,,True,27,"31 Gagarinskiy pereulok, Хамовники, Москва, Россия",2017,True
140,Apartment at Lubyanskiy proyezd 17,,,,True,34,"17 Lubyanskiy proyezd, Басманный, Москва, Россия",2017,True
141,Apartment at Malaya Lubyanka 16,,,,True,29,"16 ulitsa Malaya Lubyanka, Красносельский, Москва, Россия",2017,True
142,Apartment at Tverskaya 17,,,,True,32,"17 Tverskaya ulitsa, Тверской, Москва, Россия",2017,True
143,Apartment at Tverskaya 29,,,,True,27,"29 Tverskaya ulitsa, Тверской, Москва, Россия",2017,True
144,Apartment at ul. 1905 goda,,,,True,48,"ulitsa 1905 goda 11, Пресненский, Москва, Россия",2017,True
145,Apartment at Varsonofyevskiy pereulok 4,,,,True,40,"Varsonofyevskiy pereulok, 4, Мещанский, Москва, Россия",2017,True
